Poll Book Totals,39,92,71,33,63,62,19,23,16,19,14,43,29,24,577,66,55,37,25,22,42,50,15,15,24,447,46,6164
"",1,,6,6,,1,5,,2,,2,,7,9,,,9,,2,,3,,5,7,,,,
United States Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill Harper - D,13,0,33,18,1,39,6,0,6,2,12,3,7,24,21,3,30,3,12,1,15,2,6,7,2,27,4,297
Elissa Slotkin - D,95,32,34,10,28,29,81,3,20,3,54,16,14,10,191,26,16,12,78,2,21,31,58,48,11,241,25,2424
"",,,0,8,,4,,,,,,,9,7,,,0,,,,1,,,,,,,
Justin Amash - R,35,6,26,16,6,17,5,4,15,2,8,2,7,7,36,0,37,5,11,2,14,2,7,13,1,25,2,311
Sherry O'Donnell - R,67,7,40,33,2,31,20,2,6,3,15,4,15,13,47,7,49,1,39,3,22,5,12,10,0,21,0,474
Sandy Pensier - R,11,5,40,14,3,30,5,2,6,0,3,2,17,14,15,1,22,1,15,3,21,1,5,6,1,23,1,267
Mike Rogers - R,14,38,13,11,18,12,47,10,69,6,35,13,44,54,193,24,20,10,73,6,99,6,35,56,5,79,9,1648
"",5,,1,2,,9,,,,,,,,,,,2,,,,,,,,,,,
Rep In Congress - 1st District,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote for 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callie Barr - D,67,22,21,78,20,17,49,2,18,2,33,15,82,79,105,18,12,8,44,1,12,15,31,32,7,139,17,1525
"",,,0,,,9,,,,,,,,,,,3,,,,9,,,,,,,
Bob Lorinser - D,40,10,16,49,9,15,35,1,8,3,31,4,75,50,107,10,60,7,43,2,90,17,33,23,6,124,11,1161
"",,,1,,,2,,,,,,,,,,,,,,,,,,,,,,
Jack Bergman - R,20,52,19,15,26,18,58,16,86,9,57,20,67,86,261,25,26,13,11,13,13,10,63,76,6,118,11,2333
"",0,,6,1,,8,,,,,,,,,,,9,,9,,7,,,,,,,
